image_name,lat,lon,date,spectrum
19.4037_-155.27_20220522_Infrared.png,19.4037,-155.27,2022-05-22,Infrared
19.4059_-155.295_20220522_RGB.png,19.4059,-155.295,2022-05-22,RGB
19.414_-155.2799_20220522_RGB.png,19.414,-155.2799,2022-05-22,RGB
19.414_-155.2799_20220522_Infrared.png,19.414,-155.2799,2022-05-22,Infrared
31.6664_-110.4974_20220523_RGB.png,31.6664,-110.4974,2022-05-23,RGB
33.3857_-107.9107_20220524_Infrared.png,33.3857,-107.9107,2022-05-24,Infrared
33.389_-107.9043_20220524_RGB.png,33.389,-107.9043,2022-05-24,RGB
33.1337_-107.8955_20220524_RGB.png,33.1337,-107.8955,2022-05-24,RGB
33.132_-107.9127_20220524_Infrared.png,33.132,-107.9127,2022-05-24,Infrared
33.1468_-107.8796_20220524_Infrared.png,33.1468,-107.8796,2022-05-24,Infrared
33.3758_-107.8676_20220524_Infrared.png,33.3758,-107.8676,2022-05-24,Infrared
33.3758_-107.8676_20220524_RGB.png,33.3758,-107.8676,2022-05-24,RGB
33.3733_-107.8919_20220524_Infrared.png,33.3733,-107.8919,2022-05-24,Infrared
33.4178_-107.7886_20220524_Infrared.png,33.4178,-107.7886,2022-05-24,Infrared
33.7543_-107.5788_20220524_RGB.png,33.7543,-107.5788,2022-05-24,RGB
32.1526_-101.9294_20220525_RGB.png,32.1526,-101.9294,2022-05-25,RGB
33.131_-107.9043_20220525_RGB.png,33.131,-107.9043,2022-05-25,RGB
33.3769_-107.8533_20220525_Infrared.png,33.3769,-107.8533,2022-05-25,Infrared
33.7204_-107.5276_20220525_Infrared.png,33.7204,-107.5276,2022-05-25,Infrared
33.1154_-107.917_20220525_RGB.png,33.1154,-107.917,2022-05-25,RGB
33.3755_-107.8875_20220525_Infrared.png,33.3755,-107.8875,2022-05-25,Infrared
33.722_-107.5236_20220525_RGB.png,33.722,-107.5236,2022-05-25,RGB
33.7331_-107.5307_20220525_Infrared.png,33.7331,-107.5307,2022-05-25,Infrared
